DOI,Printer ,Model,Bioink ,,,,,,,,,,,,Cell composition,,Needle ,,,Pressure ,,,,Temperature (°C),,,,Speed (mm/s),,Flow adjustment (s),,Crosslinking,,,,,,,,,,,Notes,
10.1016/j.actbio.2018.02.007,Other,ITOP,PCL,100,wt%,,,,,,,,,,,,Conical,300,µm,750,kPa,,,98,,,18,1.67,,,,,,,,,,,,,50000,43000,"PCL Mw = 43,000 - 50,000.",
10.1038/s41598-018-29968-5,Other,ITOP,Fibrinogen,20,mg/mL,Gelatin,35,mg/mL,Hyaluronic Acid,3,mg/mL,Glycerol,10,%,Primary Human Muscle Progenitor Cells,30,Conical,300,µm,70,kPa,50,kPa,18,,,18,3,1,,,,Thrombin,20 UI/mL,25,30,,,,,,,,
10.1038/s41598-018-29968-5,Other,ITOP,Gelatin,35,mg/mL,Hyaluronic Acid,3,mg/mL,Glycerol,10,%,,,,,,Conical,300,µm,80,kPa,50,kPa,18,,,18,2.67,,,,,,,,,,,,,,,,
10.1038/s41598-018-29968-5,Other,ITOP,PCL,100,wt%,,,,,,,,,,,,Conical,300,µm,780,kPa,,,95,,,18,1.25,,,,,,,,,,,,,50000,43000,"PCL Mw = 43,000 - 50,000.",
10.1016/j.bprint.2018.e00028,Other,ITOP,Hyaluronic Acid,3,mg/mL,Gelatin,30,mg/mL,Fibrinogen,20,mg/mL,Glycerol,10,%,Human Epidermal Keratinocytes,10,Conical,300,µm,60,kPa,,,18,,18,18,3,1,,,,Thrombin,20 UI/mL,25,30,,,,,,,,
10.1016/j.bprint.2018.e00028,Other,ITOP,Hyaluronic Acid,3,mg/mL,Gelatin,30,mg/mL,Fibrinogen,20,mg/mL,Glycerol,10,%,Human Epidermal Fibroblasts,5,Conical,300,µm,60,kPa,,,18,,18,18,3,1,,,,Thrombin,20 UI/mL,25,30,,,,,,,,
10.1016/j.bprint.2018.e00028,Other,ITOP,Polyurethane,100,wt%,,,,,,,,,,,,Conical,200,µm,1500,kPa,,,160,,,18,6.67,3.34,,,,,,,,,,,,,,,
10.1002/bit.26514,Other,Custom-made FDM system,Hydroxyapatite,60,wt%,Beta Tricalcium Phosphate,40,wt%,,,,,,,,,Conical,610,µm,600,kPa,,,25,,25,25,1.67,,,,,,,,,,,,,,,,
10.1002/bit.26514,Other,Custom-made FDM system,Hydroxyapatite,60,wt%,Beta Tricalcium Phosphate,40,wt%,Zirconium oxide,10,wt%,,,,,,Conical,610,µm,600,kPa,,,25,,25,25,1.67,,,,,,,,,,,,,,,,
10.1089/ten.tec.2019.0217,EnvisionTEC,Bioplotter,Polystyrene,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,900,kPa,,,155,,60,,5,3,,,Thermal,,,,,,,,,,,,
10.1089/ten.tec.2019.0217,EnvisionTEC,Bioplotter,Glass Sugar,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,80,kPa,70,kPa,155,,60,,30,10,,,Thermal,,,,,,,,,,,,
10.1016/j.bprint.2020.e00076,EnvisionTEC,Bioplotter,Gelatin Methacrylated,7.5,wt%,,,,,,,,,,L929 Fibroblasts,1,Conical,27,Gauge,0.4,bar,,,23,,,,4,,0.2,0.1,,,,,,Irgacure 2959,0.5 wt%,5,5,,,"These conditions are compatible with engraving technology. Due to the low viscosity of the ink it might not be possible to be printed without a ""mold"" (i.e. engraved fiber) or sacrificial material",
10.1089/ten.tea.2019.0204,EnvisionTEC,Bioplotter,PCL,90,wt%,Hydroxyapatite,10,wt%,,,,,,,,,Cylindrical,22,Gauge,5.2,bar,,,160,,,,1.1,,0.85,0.55,,,,,,,,,,56000,,"PCL Mw = 56,000 Da",
10.1089/ten.tea.2019.0204,EnvisionTEC,Bioplotter,PCL,80,wt%,Hydroxyapatite,10,wt%,Beta Tricalcium Phosphate,10,wt%,,,,,,Cylindrical,22,Gauge,6,bar,,,160,,,,1.3,,0.7,0.45,,,,,,,,,,56000,,"PCL Mw = 56,000 Da",
10.1089/ten.tea.2019.0204,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,10,wt%,Beta Tricalcium Phosphate,20,wt%,,,,,,Cylindrical,22,Gauge,6.2,bar,,,160,,,,0.7,,0.8,0.7,,,,,,,,,,56000,,"PCL Mw = 56,000 Da",
10.1021/acsbiomaterials.6b00026,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),85,wt%,Diethyl fumarate (DEF),15,wt%,,,,,,,,,Conical,250,µm,4,bar,2,bar,55,,12,,20,5,0.4,-0.7,,,,,,BAPO,1 wt%,200,200,,,,
10.1021/acsbiomaterials.6b00026,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),90,wt%,Diethyl fumarate (DEF),10,wt%,,,,,,,,,Conical,250,µm,4,bar,2,bar,55,,12,,10,5,0.4,-0.3,,,,,,BAPO,1 wt%,200,200,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),75,wt%,Diethyl fumarate (DEF),12,wt%,Hydroxyapatite,10,wt%,SDS/DMSO,3,wt%,,,Conical,18,Gauge,0.8,bar,0.4,bar,65,55,12,,10,1.5,0.4,0,,,,,,BAPO,2 wt%,,6590,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),76,wt%,Diethyl fumarate (DEF),12,wt%,Hydroxyapatite,10,wt%,,,,,,Conical,18,Gauge,0.8,bar,0.4,bar,65,55,12,,10,1.5,0.4,0,,,,,,BAPO,2 wt%,,6590,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),75,wt%,Diethyl fumarate (DEF),15,wt%,,,,,,,,,Conical,18,Gauge,0.3,bar,0.3,bar,50,50,12,,12,12,0.4,0,,,,,,BAPO,1 wt%,,6590,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),82,wt%,Diethyl fumarate (DEF),15,wt%,Hydroxyapatite,1.25,wt%,,,,,,Conical,18,Gauge,0.8,bar,0.4,bar,65,55,12,,10,1.5,0.4,0,,,,,,BAPO,2 wt%,,6590,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),82,wt%,Diethyl fumarate (DEF),14,wt%,Hydroxyapatite,2.5,wt%,,,,,,Conical,18,Gauge,0.8,bar,0.4,bar,65,55,12,,10,1.5,0.4,0,,,,,,BAPO,2 wt%,,6590,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),79,wt%,Diethyl fumarate (DEF),14,wt%,Hydroxyapatite,5,wt%,,,,,,Conical,18,Gauge,0.8,bar,0.4,bar,65,55,12,,10,1.5,0.4,0,,,,,,BAPO,2 wt%,,6590,,,,
10.1080/09205063.2017.1286184,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),75,wt%,Diethyl fumarate (DEF),13,wt%,Hydroxyapatite,10,wt%,,,,,,Conical,18,Gauge,0.8,bar,0.4,bar,65,55,12,,10,1.5,0.4,0,,,,,,BAPO,1.8 wt%,,6590,,,,
10.1021/acsbiomaterials.6b00641,EnvisionTEC,Bioplotter,Polypropylene fumarate (PPF),85,wt%,Diethyl fumarate (DEF),15,wt%,,,,,,,,,Conical,340,µm,1.6,bar,0.8,bar,55,55,12,,5,5,,,,,,,,BAPO,1 wt%,10,,,,,
10.1002/adfm.201907145,EnvisionTEC,Bioplotter,Gelatin Methacrylated,7.5,wt%,,,,,,,,,,Primary Adult Human Dermal Fibroblasts,2,Cylindrical,400,µm,1.3,bar,0.8,bar,23,19,10,,6,,0.2,0,,,,,,LAP,0.15 wt%,,600,,,"Each layer was exposed to UV for 5 secs directly after printing. This helped stabilize the print's large, complex shape of a nose throughout the 6 hour print duration time. Intermittent UV exposure was crucial for a successful print. ",
10.1002/adfm.201907145,EnvisionTEC,Bioplotter,PEG Norbornene,5,wt%,PEG Thiol,5,wt%,Alginate,4,wt%,,,,,,Cylindrical,400,µm,4.5,bar,3.5,bar,26,26,10,,6,,0.2,0,,,,,,LAP,0.2 wt%,,600,,,,
https://doi.org/10.1161/CIRCRESAHA.119.316155,Cellink,Inkredible,Gelatin Methacrylated,10,wt%,Collagen Methacrylated,0.25,wt%,Laminin,0.09375,mg/mL,Fibronectin,0.09375,mg/mL,Human Induced Pluripotent Stem Cells,15,Cylindrical,26,Gauge,38,kPa,28,kPa,27,,,,10,,,,,,,,,LAP,.5wt%,120,,,,"Rectilinear infill pattern, 40% infill, 0.6mm layer height. Printed in gelatin slurry. Crosslinked during printing, followed by 20 seconds crosslinking on each six sides of print.",
10.1016/j.bprint.2016.08.003,RegenHU,3D Discovery,Cellulose Nanofibrillated,2,wt%,Alginate,0.5,wt%,,,,,,,Primary Human Nasoseptal Cartilage,20,Cylindrical,300,µm,40,kPa,,,23,,,25,5,,0.00045,,Chemical,CaCl2,100mM,,10,,,,,,,Constructs were crosslinked with 100mM CaCl2 for 10 minutes.,
10.1007/s10856-019-6258-2,Other,Custom-made Multi-Arm Bioprinter,Pluronic F127,60,wt%,Collagen,6,wt%,,,,,,,Primary Rat Bone Marrow-Derived Mesenchymal Stem Cells,10,Cylindrical,337,µm,85,kPa,50,kPa,37,,,,3.333,,,,,,,,,,,,,,,,
10.1089/ten.TEC.2020.0053,Suzhou Intelligent Manafacturing Research Institute,EFL-BP6601,Gelatin Methacrylated,5,wt%,,,,,,,,,,Primary Rat Bone Mesenchymal Stem Cells,5,Cylindrical,260,µm,300,kPa,,,22,,,,6,,,,,,,,,LAP,.25wt%,,.5-2,,,Cooling system implemented for the receiving platform.,
10.3390/bioengineering5030055,BioBots,Biobot 1,Gelatin Methacrylated,5,wt%,Alginate-2-Hydroxyethyl Methacrylate,3,wt%,,,,,,,,,Cylindrical,400,µm,3.8,psi,,,37,,,,4.3333,,,,,,,,,Irgacure 2959,0.1wt%,,0.12,,,"Construct crosslinked with Irgacure 2959 (0.1 wt%, .12mW/cm2) post print",
10.3390/bioengineering5030055,BioBots,Biobot 1,Gelatin Methacrylated,5,wt%,Silicate Nanoparticles,1,wt%,,,,,,,,,Cylindrical,400,µm,2.8,psi,,,30,,,,4.3333,,,,,,,,,Irgacure 2959,0.1wt%,,0.12,,,"Construct crosslinked with Irgacure 2959 (0.1 wt%, .12mW/cm2) post print",
10.1039/C9BM01271K,GeSiM,BioScaffolder 3.2,Gelatin Methacrylated,4,wt%,Chitosan,4,wt%,,,,,,,,,Cylindrical,200,µm,400,kPa,,,40,,,15,8,,,,,,,,,Irgacure 2959,0.5,,50,,,"Construct crosslinked with Irgacure 2959 (0.5 wt%, .50mW/cm2) post print",
10.1039/C9BM01271K,GeSiM,BioScaffolder 3.2,Gelatin Methacrylated,4,wt%,Chitosan,4,wt%,,,,,,,,,Cylindrical,150,µm,500,kPa,,,40,,,15,5,,,,,,,,,Irgacure 2959,0.5,,50,,,"Construct crosslinked with Irgacure 2959 (0.5 wt%, 50mW/cm2) post print",
10.1016/j.jmbbm.2017.12.018,Cellink,Inkredible +,Alginate,5,wt%,Gelatin,6,wt%,,,,,,,,,Cylindrical,27,Gauge,103,kPa,,,37,,,,5,,,,,,,,,,,,,,,,
10.1016/j.jmbbm.2017.12.018,Cellink,Inkredible +,Alginate,5,wt%,Gelatin,8,wt%,,,,,,,,,Cylindrical,27,Gauge,172,kPa,,,37,,,,5,,,,,,,,,,,,,,,,
10.1016/j.jmbbm.2017.12.018,Cellink,Inkredible +,Alginate,7,wt%,Gelatin,8,wt%,,,,,,,,,Cylindrical,27,Gauge,193,kPa,,,37,,,,5,,,,,,,,,,,,,,,,
10.1016/j.jmbbm.2017.12.018,Cellink,Inkredible +,Alginate,9,wt%,Gelatin,6,wt%,,,,,,,,,Cylindrical,27,Gauge,276,kPa,,,37,,,,5,,,,,,,,,,,,,,,,
10.1016/j.jmbbm.2017.12.018,Cellink,Inkredible +,Alginate,5,wt%,Gelatin,10,wt%,,,,,,,,,Cylindrical,27,Gauge,310,kPa,,,37,,,,5,,,,,,,,,,,,,,,,
10.1016/j.jmbbm.2017.12.018,Cellink,Inkredible +,Alginate,7,wt%,Gelatin,6,wt%,,,,,,,,,Cylindrical,27,Gauge,186,kPa,,,37,,,,5,,,,,,,,,,,,,,,,
10.1002/adhm.201801631,GeSiM,BioScaffolder 3.1,Alginate,3,wt%,Methylcellulose,9,wt%,,,,,,,,,Cylindrical,840,µm,50,kPa,40,kPa,25,,,,10,,,,,,,,,,,,,,,Pancreatic Inslets were encapsulated into the scaffold. The constructs were also crosslinked with 70mM SrCl2 for 10 minutes.,
10.1021/acsami.9b09782,Other,Custom-made Extrusion Printer,Gelatin Methacrylated,5,wt%,,,,,,,,,,NIH 3T3 Fibroblasts,1,Cylindrical,210,µm,,,,,25,15,,,6,4,,,,,,,,Irgacure 2959,0.5,40,8,,,"Construct crosslinked with Irgacure 2959 (0.5 wt%, 8mW/cm2, 40s) post print",
10.1021/acsami.9b09782,Other,Custom-made Extrusion Printer,Gelatin Methacrylated,5,wt%,Silk Fibroin,1,wt%,,,,,,,NIH 3T3 Fibroblasts,1,Cylindrical,210,µm,,,,,25,15,,,6,4,,,,,,,,Irgacure 2959,0.5,40,8,,,"Construct crosslinked with Irgacure 2959 (0.5 wt%, 8mW/cm2, 40s) post print",
10.1016/j.jmbbn.2019.06.014,Other,Custom-made Microextrusion Printer,Alginate,2,wt%,Kappa Carrageenan,1.5,wt%,,,,,,,Primary Rabbit Adipose-Dervied Mesenchymal Stem Cells,5,Cylindrical,510,µm,50,kPa,,,25,,,,2,,,,,,,,,,,,,,,CaSO4 was used at 1 wt% to initially crosslink the hydrogels,
10.1016/j.jmbbn.2019.06.014,Other,Custom-made Microextrusion Printer,Alginate,2,wt%,,,,,,,,,,Primary Rabbit Adipose-Dervied Mesenchymal Stem Cells,5,Cylindrical,510,µm,30,kPa,,,25,,,,4,,,,,,,,,,,,,,,CaSO4 was used at 1 wt% to initially crosslink the hydrogels,
10.1038/s41598-020-61606-c,Other,Customized 3D Printer,Alginate,3,wt%,,,,,,,,,,NIH 3T3 Fibroblasts,1,Cylindrical,30,Gauge,50,kPa,,,22,,,,2.5,,,,,,,,,,,,,,,A pluronic F127 and laponite support bath was used. The bath also contained 1wt% CaCl2 .,
10.1007/s42242-020-00076-6,Other,Pneumatic Extrusion Bioprinting System,Hyaluronic Acid,2,wt%,Alginate,1,wt%,Gelatin,3.75,wt%,,,,Human Glial Cells,1.5,Cylindrical,25,Gauge,3,Bar,,,37,,,4,2.3,,,,Chemical,CaCl2,5wt%,,3,,,,,,,,
10.1007/s42242-020-00076-6,Other,Pneumatic Extrusion Bioprinting System,Hyaluronic Acid,2,wt%,Alginate,1,wt%,Gelatin,7.5,wt%,,,,Human Glial Cells,1.5,Cylindrical,25,Gauge,3,Bar,,,37,,,4,2.3,,,,Chemical,CaCl2,5wt%,,3,,,,,,,,
10.1002/term.1682,Other,Multihead Deposition System,PCL,100,wt%,,,,,,,,,,,,Cylindrical,250,µm,650,kPa,,,80,,,,1.333,,,,,,,,,,,,,90000,70000,"PCL MW = 70,000 - 90,000",
10.1002/term.1682,Other,Multihead Deposition System,Alginate,4,wt%,,,,,,,,,,Primary Human Nasal Septal Cartilage Chondrocyte,1,Conical,250,µm,9,kPa,,,22,,,,6.666667,,,,Chemical,CaCl2,100mM,,5,,,,,,,Alginate was dispensed in the lines between the lines of the PCL layers,
